IP Address,TimeStamp,Transfer(s1),s2,s3,s4,s5,Priority,Membership
174.307.9.17,08-01-2023 13.25,7.621,3.658,3.963,2.847,4.774,2,Premium Membership
189.284.19.16,08-01-2023 13.30,7.107,4.477,2.63,2.53,4.577,2,Basic Membership
161.219.18.12,08-01-2023 13.35,8.698,4.436,4.262,3.805,4.893,0,Basic Membership
178.206.9.7,08-01-2023 13.40,9.904,2.377,7.527,4.738,5.166,2,Basic Membership
170.226.14.20,08-01-2023 13.45,8.824,4.941,3.883,3.191,5.633,3,Premium Membership
171.340.1.7,08-01-2023 13.50,8.212,5.995,2.217,4.691,3.521,2,Basic Membership
174.263.20.8,08-01-2023 13.55,7.471,4.781,2.69,2.421,5.05,1,Premium Membership
173.344.12.0,08-01-2023 14.00,9.512,3.234,6.278,5.003,4.509,0,Basic Membership
166.234.6.16,08-01-2023 14.05,14.004,7.982,6.022,7.839,6.165,0,Premium Membership
155.237.15.11,08-01-2023 14.10,15.2,4.408,10.792,5.87,9.33,4,Basic Membership
174.304.17.15,08-01-2023 14.15,13.048,4.958,8.09,8.252,4.796,0,Basic Membership
175.282.8.5,08-01-2023 14.20,11.374,6.369,5.005,5.732,5.642,1,Premium Membership
187.207.2.0,08-01-2023 14.25,12.221,7.821,4.4,5.871,6.35,4,Basic Membership
182.335.4.10,08-01-2023 14.30,11.723,6.448,5.275,6.747,4.976,4,Basic Membership
178.214.8.8,08-01-2023 14.35,11.305,2.261,9.044,5.766,5.539,2,Basic Membership
160.274.15.18,08-01-2023 14.40,11.046,6.407,4.639,6.351,4.695,2,Basic Membership
188.305.12.1,08-01-2023 14.45,12.338,6.663,5.675,2.808,9.53,4,Basic Membership
184.314.15.14,08-01-2023 14.50,14.977,4.493,10.484,5.197,9.78,1,Basic Membership
176.349.2.6,08-01-2023 14.55,14.527,7.99,6.537,10.067,4.46,4,Basic Membership
176.298.5.10,08-01-2023 15.00,14.11,7.76,6.35,5.136,8.974,1,Basic Membership
174.201.11.8,08-01-2023 15.05,15.016,5.856,9.16,6.798,8.218,3,Basic Membership
174.348.10.4,08-01-2023 15.10,15.785,5.209,10.576,6.006,9.779,1,Basic Membership
164.271.14.0,08-01-2023 15.15,19.608,10.784,8.824,10.059,9.549,2,Basic Membership
181.274.12.2,08-01-2023 15.20,18.99,11.774,7.216,8.173,10.817,2,Basic Membership
155.282.8.18,08-01-2023 15.25,17.034,11.583,5.451,6.957,10.077,4,Premium Membership
155.303.2.13,08-01-2023 15.30,15.475,5.416,10.059,7.242,8.233,4,Basic Membership
173.204.9.0,08-01-2023 15.35,16.401,8.365,8.036,4.532,11.869,1,Premium Membership
159.307.12.12,08-01-2023 15.40,15.077,6.182,8.895,5.247,9.83,1,Premium Membership
177.213.6.12,08-01-2023 15.45,16.566,5.964,10.602,6.454,10.112,2,Premium Membership
155.348.16.5,08-01-2023 15.50,17.321,9.873,7.448,9.035,8.286,0,Basic Membership
170.213.20.1,08-01-2023 15.55,16.699,9.685,7.014,9.716,6.983,0,Premium Membership
152.291.15.6,08-01-2023 16.00,17.024,9.363,7.661,8.657,8.367,0,Premium Membership
154.338.3.18,08-01-2023 16.05,18.219,11.114,7.105,5.874,12.345,4,Basic Membership
150.246.13.0,08-01-2023 16.10,18.169,8.539,9.63,10.087,8.082,3,Basic Membership
154.314.5.5,08-01-2023 16.15,15.682,6.273,9.409,6.241,9.441,4,Basic Membership
153.201.2.10,08-01-2023 16.20,18.339,5.135,13.204,8.201,10.138,0,Premium Membership
170.200.9.7,08-01-2023 16.25,17.275,12.265,5.01,7.066,10.21,1,Basic Membership
153.231.7.13,08-01-2023 16.30,15.732,10.068,5.664,7.237,8.495,1,Basic Membership
181.275.14.2,08-01-2023 16.35,15.226,3.35,11.876,7.111,8.116,0,Basic Membership
165.213.3.0,08-01-2023 16.40,17.695,12.387,5.308,9.944,7.751,1,Basic Membership
157.263.19.8,08-01-2023 16.45,16.524,4.296,12.228,6.474,10.05,3,Premium Membership
181.267.12.17,08-01-2023 16.50,15.476,9.131,6.345,10.219,5.257,0,Basic Membership
172.329.1.0,08-01-2023 16.55,15.4,7.854,7.546,4.962,10.438,0,Premium Membership
178.330.6.14,08-01-2023 17.00,15.165,5.914,9.251,10.33,4.835,1,Premium Membership
173.274.12.8,08-01-2023 17.05,16.599,5.976,10.623,7.762,8.837,3,Basic Membership
163.345.11.19,08-01-2023 17.10,19.087,8.398,10.689,12.811,6.276,2,Basic Membership
160.314.14.17,08-01-2023 17.15,17.692,4.777,12.915,7.866,9.826,4,Basic Membership
154.224.14.2,08-01-2023 17.20,18.714,4.866,13.848,11.408,7.306,1,Basic Membership
186.206.13.18,08-01-2023 17.25,18.719,4.305,14.414,11.591,7.128,1,Basic Membership
183.263.17.6,08-01-2023 17.30,15.877,6.668,9.209,9.768,6.109,4,Basic Membership
190.200.20.18,08-01-2023 17.35,19.26,7.511,11.749,11.354,7.906,3,Basic Membership
162.313.2.12,08-01-2023 17.40,16.248,4.549,11.699,7.364,8.884,2,Basic Membership
180.259.15.8,08-01-2023 17.45,15.383,7.845,7.538,7.379,8.004,3,Basic Membership
161.258.7.1,08-01-2023 17.50,17.919,6.272,11.647,6.648,11.271,1,Premium Membership
174.245.7.14,08-01-2023 17.55,17.794,11.032,6.762,10.438,7.356,1,Premium Membership
152.312.16.16,08-01-2023 18.00,19.117,4.97,14.147,7.234,11.883,0,Premium Membership
189.329.0.7,08-01-2023 18.05,17.133,8.224,8.909,7.6,9.533,3,Basic Membership
178.304.3.12,08-01-2023 18.10,17.595,12.141,5.454,9.885,7.71,3,Basic Membership
185.247.9.5,08-01-2023 18.15,17.576,9.843,7.733,5.336,12.24,4,Premium Membership
186.276.16.6,08-01-2023 18.20,19.384,13.956,5.428,7.358,12.026,0,Basic Membership
154.266.3.11,08-01-2023 18.25,16.512,6.44,10.072,10.744,5.768,2,Basic Membership
171.336.15.18,08-01-2023 18.30,19.007,13.875,5.132,12.469,6.538,0,Basic Membership
152.313.17.11,08-01-2023 18.35,16.363,3.6,12.763,5.073,11.29,4,Basic Membership
172.271.4.17,08-01-2023 18.40,18.036,6.493,11.543,11.658,6.378,2,Basic Membership
175.332.10.7,08-01-2023 18.45,19.25,7.122,12.128,12.47,6.78,0,Basic Membership
184.209.0.14,08-01-2023 18.50,18.223,8.929,9.294,12.853,5.37,0,Basic Membership
152.249.16.20,08-01-2023 18.55,17.875,10.01,7.865,7.3,10.575,0,Basic Membership
187.226.9.0,08-01-2023 19.00,16.308,9.785,6.523,8.839,7.469,4,Basic Membership
161.223.2.7,08-01-2023 19.05,15.305,6.428,8.877,8.415,6.89,1,Premium Membership
185.249.18.8,08-01-2023 19.10,13.125,3.281,9.844,8.794,4.331,0,Basic Membership
173.298.17.13,08-01-2023 19.15,13.785,7.857,5.928,6.383,7.402,0,Premium Membership
166.345.15.1,08-01-2023 19.20,14.205,6.108,8.097,7.635,6.57,4,Basic Membership
172.308.10.15,08-01-2023 19.25,15.221,3.501,11.72,8.557,6.664,2,Basic Membership
180.335.5.0,08-01-2023 19.30,12.105,6.9,5.205,6.87,5.235,1,Basic Membership
175.323.19.7,08-01-2023 19.35,15.375,5.381,9.994,7.933,7.442,3,Basic Membership
166.277.12.7,08-01-2023 19.40,14.635,6,8.635,5.283,9.352,2,Basic Membership
165.246.12.3,08-01-2023 19.45,13.452,2.959,10.493,8.539,4.913,2,Basic Membership
171.262.7.12,08-01-2023 19.50,13.659,5.737,7.922,6.425,7.234,4,Premium Membership
175.323.6.12,08-01-2023 19.55,12.082,6.887,5.195,5.331,6.751,3,Basic Membership
180.286.17.20,08-01-2023 20.00,15.04,6.016,9.024,8.061,6.979,1,Premium Membership
172.345.4.9,08-01-2023 20.05,13.469,4.041,9.428,7.138,6.331,4,Basic Membership
175.323.19.7,08-01-2023 20.10,13.562,9.765,3.797,7.524,6.038,3,Basic Membership
186.298.15.4,08-01-2023 20.15,13.536,4.196,9.34,7.946,5.59,3,Premium Membership
162.253.0.12,08-01-2023 20.20,12.942,6.73,6.212,4.835,8.107,1,Basic Membership
175.225.12.13,08-01-2023 20.25,15.461,10.359,5.102,3.714,11.747,0,Basic Membership
150.265.7.13,08-01-2023 20.30,14.936,9.111,5.825,8.478,6.458,0,Basic Membership
161.304.1.11,08-01-2023 20.35,14.267,9.274,4.993,8.995,5.272,3,Basic Membership
174.289.0.0,08-01-2023 20.40,13.529,6.629,6.9,7.084,6.445,0,Basic Membership
165.219.14.9,08-01-2023 20.45,12.88,2.705,10.175,8.211,4.669,4,Basic Membership
151.241.3.20,08-01-2023 20.50,12.43,8.95,3.48,7.249,5.181,4,Basic Membership
157.227.11.13,08-01-2023 20.55,14.547,8.437,6.11,8.242,6.305,0,Premium Membership
171.324.18.18,08-01-2023 21.00,12.512,9.134,3.378,5.549,6.963,2,Basic Membership
162.335.4.0,08-01-2023 21.05,15.592,9.823,5.769,7.461,8.131,1,Basic Membership
183.248.2.16,08-01-2023 21.10,15.349,6.447,8.902,6.71,8.639,2,Premium Membership
160.289.3.12,08-01-2023 21.15,12.49,9.367,3.123,9.149,3.341,0,Basic Membership
158.269.6.17,08-01-2023 21.20,15.115,9.371,5.744,6.596,8.519,1,Premium Membership
173.318.1.11,08-01-2023 21.25,14.126,8.899,5.227,5.691,8.435,1,Premium Membership
168.222.15.10,08-01-2023 21.30,12.747,5.609,7.138,6.929,5.818,2,Premium Membership
161.200.5.14,08-01-2023 21.35,15.257,9.307,5.95,6.695,8.562,0,Basic Membership
165.217.6.18,08-01-2023 21.40,13.693,7.805,5.888,7.542,6.151,4,Basic Membership
190.285.13.3,08-01-2023 21.45,12.757,9.44,3.317,3.751,9.006,3,Premium Membership
163.345.11.19,08-01-2023 21.50,15.477,10.215,5.262,5.906,9.571,1,Basic Membership
161.214.14.0,08-01-2023 21.55,13.126,5.775,7.351,5.912,7.214,3,Basic Membership
188.243.20.12,08-01-2023 22.00,14.485,5.504,8.981,9.644,4.841,0,Basic Membership
157.281.14.9,08-01-2023 22.05,13.356,9.082,4.274,8.623,4.733,1,Premium Membership
158.238.4.6,08-01-2023 22.10,12.705,9.529,3.176,4.733,7.972,0,Premium Membership
155.339.11.7,08-01-2023 22.15,12.144,4.129,8.015,8.139,4.005,2,Basic Membership
154.284.7.9,08-01-2023 22.20,13.47,5.657,7.813,7.398,6.072,3,Basic Membership
181.300.14.11,08-01-2023 22.25,15.357,3.532,11.825,8.46,6.897,2,Basic Membership
152.336.13.0,08-01-2023 22.30,14.105,6.347,7.758,9.598,4.507,3,Premium Membership
171.211.12.18,08-01-2023 22.35,11.695,6.081,5.614,7.826,3.869,4,Premium Membership
151.256.6.8,08-01-2023 22.40,10.516,3.786,6.73,4.059,6.457,1,Basic Membership
172.305.7.11,08-01-2023 22.45,10.099,2.626,7.473,4.72,5.379,4,Basic Membership
173.313.8.17,08-01-2023 22.50,11.641,5.238,6.403,7.177,4.464,4,Basic Membership
153.204.19.14,08-01-2023 22.55,11.275,6.765,4.51,7.306,3.969,0,Premium Membership
173.335.3.9,08-01-2023 23.00,14.287,8.858,5.429,6.403,7.884,3,Basic Membership
189.221.12.15,08-01-2023 23.05,6.594,2.242,4.352,3.455,3.139,0,Basic Membership
179.200.18.3,08-01-2023 23.10,7.326,5.494,1.832,5.11,2.216,3,Premium Membership
186.209.4.5,08-01-2023 23.15,7.187,2.084,5.103,4.244,2.943,2,Premium Membership
170.281.18.4,08-01-2023 23.20,7.757,1.939,5.818,5.197,2.56,0,Basic Membership
158.245.19.13,08-01-2023 23.25,5.644,1.467,4.177,3.344,2.3,2,Premium Membership
157.289.18.5,08-01-2023 23.30,8.215,5.422,2.793,5.723,2.492,4,Basic Membership
182.341.12.16,08-01-2023 23.35,3.966,1.785,2.181,2.229,1.737,0,Basic Membership
180.305.17.2,08-01-2023 23.40,4.458,1.56,2.898,2.242,2.216,0,Basic Membership
169.217.14.15,08-01-2023 23.45,3.053,1.893,1.16,0.915,2.138,3,Basic Membership
179.344.8.0,08-01-2023 23.50,3.32,1.726,1.594,1.469,1.851,1,Basic Membership
160.280.2.10,08-01-2023 23.55,3.188,2.04,1.148,1.215,1.973,0,Premium Membership
158.236.10.6,09-01-2023 0.00,4.416,1.546,2.87,1.899,2.517,1,Basic Membership
165.207.19.3,09-01-2023 0.05,4.341,2.865,1.476,1.529,2.812,0,Basic Membership
186.281.6.6,09-01-2023 0.10,3.21,1.444,1.766,1.833,1.377,3,Basic Membership
158.277.9.13,09-01-2023 0.15,4.176,2.046,2.13,1.997,2.179,3,Basic Membership
182.291.6.8,09-01-2023 0.20,4.272,1.709,2.563,2.367,1.905,1,Premium Membership
164.313.15.16,09-01-2023 0.25,4.428,2.568,1.86,1.44,2.988,2,Basic Membership
170.342.7.16,09-01-2023 0.30,3.88,1.591,2.289,1.812,2.068,0,Basic Membership
153.349.7.6,09-01-2023 0.35,3.157,1.452,1.705,1.556,1.601,1,Premium Membership
183.270.11.13,09-01-2023 0.40,4.903,2.501,2.402,1.206,3.697,4,Basic Membership
185.286.10.7,09-01-2023 0.45,3.003,1.562,1.441,1.1,1.903,3,Premium Membership
158.305.7.11,09-01-2023 0.50,4.323,1.772,2.551,1.299,3.024,4,Basic Membership
175.322.20.6,09-01-2023 0.55,4.503,2.297,2.206,2.401,2.102,4,Premium Membership
159.309.5.20,09-01-2023 1.00,4.163,1.665,2.498,1.765,2.398,0,Basic Membership
186.328.10.5,09-01-2023 1.05,3.611,2.6,1.011,2.129,1.482,0,Basic Membership
165.350.14.18,09-01-2023 1.10,3.31,2.151,1.159,1.215,2.095,2,Basic Membership
175.296.17.5,09-01-2023 1.15,3.802,1.065,2.737,2.036,1.766,4,Premium Membership
172.271.4.17,09-01-2023 1.20,4.576,2.929,1.647,2.506,2.07,1,Basic Membership
171.302.12.2,09-01-2023 1.25,3.134,2.006,1.128,1.519,1.615,2,Premium Membership
181.228.12.14,09-01-2023 1.30,3.771,2.791,0.98,1.309,2.462,1,Premium Membership
175.242.20.2,09-01-2023 1.35,4.526,2.942,1.584,2.815,1.711,0,Premium Membership
181.274.12.2,09-01-2023 1.40,4.166,1.75,2.416,1.212,2.954,1,Basic Membership
189.260.15.14,09-01-2023 1.45,3.316,0.663,2.653,1.313,2.003,2,Premium Membership
152.319.0.7,09-01-2023 1.50,4.922,1.034,3.888,3.502,1.42,2,Basic Membership
154.298.11.0,09-01-2023 1.55,3.398,2.311,1.087,1.068,2.33,1,Basic Membership
172.292.18.9,09-01-2023 2.00,3.532,1.413,2.119,1.208,2.324,0,Basic Membership
171.315.0.11,09-01-2023 2.05,3.055,1.13,1.925,1.37,1.685,0,Basic Membership
153.329.6.15,09-01-2023 2.10,4.532,2.81,1.722,2.607,1.925,1,Premium Membership
165.326.3.11,09-01-2023 2.15,3.14,2.261,0.879,1.328,1.812,3,Basic Membership
166.286.15.0,09-01-2023 2.20,4.578,2.701,1.877,2.419,2.159,0,Premium Membership
180.207.6.12,09-01-2023 2.25,3.109,2.238,0.871,1.206,1.903,3,Basic Membership
150.338.16.11,09-01-2023 2.30,3.663,0.989,2.674,1.45,2.213,2,Basic Membership
161.315.4.8,09-01-2023 2.35,3.299,1.913,1.386,1.841,1.458,0,Basic Membership
174.201.5.2,09-01-2023 2.40,3.794,1.518,2.276,2.254,1.54,4,Basic Membership
184.321.3.15,09-01-2023 2.45,3.356,1.04,2.316,1.193,2.163,3,Basic Membership
190.230.7.6,09-01-2023 2.50,3.643,1.384,2.259,2.128,1.515,2,Basic Membership
186.225.18.12,09-01-2023 2.55,4.309,0.991,3.318,1.594,2.715,4,Premium Membership
164.336.6.19,09-01-2023 3.00,4.712,2.592,2.12,2.646,2.066,0,Basic Membership
150.289.19.5,09-01-2023 3.05,6.085,2.799,3.286,2.785,3.3,2,Basic Membership
158.297.7.13,09-01-2023 3.10,6.468,1.682,4.786,2.992,3.476,2,Basic Membership
165.217.6.18,09-01-2023 3.15,4.184,1.423,2.761,2.826,1.358,0,Basic Membership
171.228.0.20,09-01-2023 3.20,6.531,2.482,4.049,3.051,3.48,1,Premium Membership
183.307.5.10,09-01-2023 3.25,6.121,4.591,1.53,1.699,4.422,0,Basic Membership
170.248.6.3,09-01-2023 3.30,5.201,1.3,3.901,1.43,3.771,4,Basic Membership
163.276.4.3,09-01-2023 3.35,6.856,3.565,3.291,2.583,4.273,4,Basic Membership
154.314.13.2,09-01-2023 3.40,6.5,4.095,2.405,2.263,4.237,2,Basic Membership
163.285.12.7,09-01-2023 3.45,6.485,1.816,4.669,3.964,2.521,0,Premium Membership
150.325.11.17,09-01-2023 3.50,5.225,2.769,2.456,2.659,2.566,2,Premium Membership
164.208.6.13,09-01-2023 3.55,5.025,1.005,4.02,1.839,3.186,0,Basic Membership
182.267.14.0,09-01-2023 4.00,5.555,1.278,4.277,3.547,2.008,1,Premium Membership
189.224.12.7,09-01-2023 4.05,4.733,3.408,1.325,2.037,2.696,0,Basic Membership
152.323.18.10,09-01-2023 4.10,5.828,1.224,4.604,3.587,2.241,3,Basic Membership
181.274.9.17,09-01-2023 4.15,6.548,3.732,2.816,3.092,3.456,1,Premium Membership
154.308.18.19,09-01-2023 4.20,6.911,3.801,3.11,3.224,3.687,4,Basic Membership
175.270.15.20,09-01-2023 4.25,5.204,1.665,3.539,3.378,1.826,2,Basic Membership
164.201.10.20,09-01-2023 4.30,4.802,2.497,2.305,1.93,2.872,3,Premium Membership
167.287.1.7,09-01-2023 4.35,5.746,2.988,2.758,3.448,2.298,4,Premium Membership
167.259.19.12,09-01-2023 4.40,5.01,3.006,2.004,2.585,2.425,1,Basic Membership
167.259.19.12,09-01-2023 4.45,4.744,1.044,3.7,1.384,3.36,4,Basic Membership
163.330.15.14,09-01-2023 4.50,5.403,1.675,3.728,3.23,2.173,0,Premium Membership
162.238.8.10,09-01-2023 4.55,5.595,3.189,2.406,2.488,3.107,4,Basic Membership
186.337.1.19,09-01-2023 5.00,4.903,2.01,2.893,3.038,1.865,3,Premium Membership
189.260.15.14,09-01-2023 5.05,10.692,5.988,4.704,5.573,5.119,2,Premium Membership
153.329.6.15,09-01-2023 5.10,9.84,4.33,5.51,4.361,5.479,1,Premium Membership
182.311.1.3,09-01-2023 5.15,9.132,6.758,2.374,5.129,4.003,3,Premium Membership
165.270.8.17,09-01-2023 5.20,9.91,6.243,3.667,3.412,6.498,1,Premium Membership
178.282.6.2,09-01-2023 5.25,8.409,3.784,4.625,4.844,3.565,3,Premium Membership
158.219.4.3,09-01-2023 5.30,11.816,6.853,4.963,5.232,6.584,3,Premium Membership
156.272.16.8,09-01-2023 5.35,8.671,5.723,2.948,3.791,4.88,0,Premium Membership
156.336.3.2,09-01-2023 5.40,8.801,3.784,5.017,5.182,3.619,0,Premium Membership
182.293.8.12,09-01-2023 5.45,8.549,5.044,3.505,5.353,3.196,3,Basic Membership
158.308.19.15,09-01-2023 5.50,11.699,2.925,8.774,7.809,3.89,1,Basic Membership
150.220.2.7,09-01-2023 5.55,12.148,7.896,4.252,2.806,9.342,1,Basic Membership
168.301.15.6,09-01-2023 6.00,9.352,6.733,2.619,3.909,5.443,2,Premium Membership
177.243.20.11,09-01-2023 6.05,12.836,5.905,6.931,8.718,4.118,1,Premium Membership
185.313.17.0,09-01-2023 6.10,11.683,3.972,7.711,4.514,7.169,4,Premium Membership
167.261.2.9,09-01-2023 6.15,9.871,2.468,7.403,2.912,6.959,0,Basic Membership
167.350.12.1,09-01-2023 6.20,11.96,8.492,3.468,5.02,6.94,4,Basic Membership
166.229.5.19,09-01-2023 6.25,9.752,3.316,6.436,3.603,6.149,4,Basic Membership
186.326.19.11,09-01-2023 6.30,11.28,3.271,8.009,6.514,4.766,4,Basic Membership
158.308.19.15,09-01-2023 6.35,9.859,4.929,4.93,4.831,5.028,0,Basic Membership
158.219.4.3,09-01-2023 6.40,11.124,4.227,6.897,4.556,6.568,2,Premium Membership
165.315.3.16,09-01-2023 6.45,8.49,6.283,2.207,2.671,5.819,3,Premium Membership
150.255.6.17,09-01-2023 6.50,12.846,6.68,6.166,6.649,6.197,1,Basic Membership
171.249.15.14,09-01-2023 6.55,11.101,8.215,2.886,5.206,5.895,4,Premium Membership
158.305.7.11,09-01-2023 7.00,8.432,4.469,3.963,3.941,4.491,0,Basic Membership
167.324.3.1,09-01-2023 7.05,12.033,6.979,5.054,4.84,7.193,1,Premium Membership
151.231.12.14,09-01-2023 7.10,10.753,2.688,8.065,4.705,6.048,3,Premium Membership
182.289.2.20,09-01-2023 7.15,9.661,6.086,3.575,5.848,3.813,4,Premium Membership
176.243.18.4,09-01-2023 7.20,10.369,2.592,7.777,7.051,3.318,0,Premium Membership
176.296.10.3,09-01-2023 7.25,11.425,7.312,4.113,7.28,4.145,4,Premium Membership
155.345.17.2,09-01-2023 7.30,10.768,7.215,3.553,5.347,5.421,3,Basic Membership
178.243.5.18,09-01-2023 7.35,8.778,2.985,5.793,4.637,4.141,2,Basic Membership
167.239.9.2,09-01-2023 7.40,11.819,3.073,8.746,5.652,6.167,0,Premium Membership
151.308.9.5,09-01-2023 7.45,10.878,4.351,6.527,4.569,6.309,1,Basic Membership
188.287.15.5,09-01-2023 7.50,8.974,4.846,4.128,6.022,2.952,3,Basic Membership
182.203.12.20,09-01-2023 7.55,11.525,4.034,7.491,6.321,5.204,4,Premium Membership
165.267.20.4,09-01-2023 8.00,8.034,4.097,3.937,4.142,3.892,4,Premium Membership
153.341.20.2,09-01-2023 8.05,12.348,2.964,9.384,2.707,9.641,4,Basic Membership
151.256.6.8,09-01-2023 8.10,12.187,5.606,6.581,3.659,8.528,3,Basic Membership
155.334.13.1,09-01-2023 8.15,12.468,3.99,8.478,5.386,7.082,3,Premium Membership
164.249.10.20,09-01-2023 8.20,9.004,2.521,6.483,4.754,4.25,1,Basic Membership
154.307.12.8,09-01-2023 8.25,9.441,6.042,3.399,5.098,4.343,2,Basic Membership
177.327.9.8,09-01-2023 8.30,12.74,7.771,4.969,4.691,8.049,3,Basic Membership
187.254.6.3,09-01-2023 8.35,10.381,6.955,3.426,4.565,5.816,2,Basic Membership
180.311.18.11,09-01-2023 8.40,9.617,6.636,2.981,3.308,6.309,4,Premium Membership
185.247.9.5,09-01-2023 8.45,12.313,4.31,8.003,4.673,7.64,3,Premium Membership
150.301.11.5,09-01-2023 8.50,10.599,4.77,5.829,2.178,8.421,3,Premium Membership
187.259.16.14,09-01-2023 8.55,12.158,5.836,6.322,2.981,9.177,2,Basic Membership
189.228.9.15,09-01-2023 9.00,11.233,6.627,4.606,3.508,7.725,4,Premium Membership
187.207.2.0,09-01-2023 9.05,10.409,4.684,5.725,7.297,3.112,3,Basic Membership
172.298.13.15,09-01-2023 9.10,10.139,3.346,6.793,5.605,4.534,0,Basic Membership
167.221.20.14,09-01-2023 9.15,10.517,5.153,5.364,3.656,6.861,1,Basic Membership
168.302.12.16,09-01-2023 9.20,9.788,4.405,5.383,2.936,6.852,3,Basic Membership
150.265.7.13,09-01-2023 9.25,9.261,3.797,5.464,2.776,6.485,2,Basic Membership
171.260.10.20,09-01-2023 9.30,12.794,7.165,5.629,8.132,4.662,1,Premium Membership
158.237.12.3,09-01-2023 9.35,9.461,5.204,4.257,5.308,4.153,3,Basic Membership
165.217.6.18,09-01-2023 9.40,12.323,4.683,7.64,3.386,8.937,0,Basic Membership
151.268.13.6,09-01-2023 9.45,8.942,2.057,6.885,5.513,3.429,1,Basic Membership
183.307.5.10,09-01-2023 9.50,10.104,4.446,5.658,4.349,5.755,1,Basic Membership
173.339.17.8,09-01-2023 9.55,12.457,9.094,3.363,6.829,5.628,1,Basic Membership
161.278.2.20,09-01-2023 10.00,12.681,7.101,5.58,6.467,6.214,1,Basic Membership
153.243.0.13,09-01-2023 10.05,9.393,4.509,4.884,4.655,4.738,3,Premium Membership
185.235.10.20,09-01-2023 10.10,9.18,5.967,3.213,5.586,3.594,2,Premium Membership
164.248.18.10,09-01-2023 10.15,9.283,6.127,3.156,6.403,2.88,2,Premium Membership
165.309.2.13,09-01-2023 10.20,10.217,3.269,6.948,6.29,3.927,4,Basic Membership
161.247.3.14,09-01-2023 10.25,8.306,5.897,2.409,3.357,4.949,4,Basic Membership
177.269.10.19,09-01-2023 10.30,11.126,4.117,7.009,3.96,7.166,1,Basic Membership
155.334.14.13,09-01-2023 10.35,10.252,7.689,2.563,6.689,3.563,4,Premium Membership
186.210.3.17,09-01-2023 10.40,11.994,2.399,9.595,4.51,7.484,3,Basic Membership
167.237.16.2,09-01-2023 10.45,11.866,6.764,5.102,4.482,7.384,1,Premium Membership
165.207.19.3,09-01-2023 10.50,11.83,5.797,6.033,6.037,5.793,4,Basic Membership
158.277.9.13,09-01-2023 10.55,10.347,2.276,8.071,2.912,7.435,1,Basic Membership
185.291.15.16,09-01-2023 11.00,12.882,3.478,9.404,2.855,10.027,3,Basic Membership
184.264.19.6,09-01-2023 11.05,7.7,5.775,1.925,4.043,3.658,4,Premium Membership
186.276.16.6,09-01-2023 11.10,9.041,6.238,2.803,4.935,4.106,2,Basic Membership
187.209.14.0,09-01-2023 11.15,9.033,5.871,3.162,4.34,4.693,1,Basic Membership
160.275.13.3,09-01-2023 11.20,8.494,4.077,4.417,4.135,4.359,0,Premium Membership
174.281.6.15,09-01-2023 11.25,7.825,3.678,4.147,3.565,4.26,3,Premium Membership
152.315.3.17,09-01-2023 11.30,9.568,2.966,6.602,6.368,3.2,4,Basic Membership
178.320.5.18,09-01-2023 11.35,8.445,6.249,2.196,3.577,4.868,4,Premium Membership
187.286.5.16,09-01-2023 11.40,7.192,3.884,3.308,3.504,3.688,1,Basic Membership
187.341.13.6,09-01-2023 11.45,8.728,4.277,4.451,5.497,3.231,4,Basic Membership
182.261.11.3,09-01-2023 11.50,9.375,6.656,2.719,5.637,3.738,1,Premium Membership
154.298.11.0,09-01-2023 11.55,8.151,4.646,3.505,3.074,5.077,2,Basic Membership
181.274.9.17,09-01-2023 12.00,7.55,4.077,3.473,3.846,3.704,1,Premium Membership
166.334.13.20,09-01-2023 12.05,8.262,5.122,3.14,3.896,4.366,2,Basic Membership
183.285.18.19,09-01-2023 12.10,9.891,3.857,6.034,3.331,6.56,2,Premium Membership
174.299.9.7,09-01-2023 12.15,9.995,5.597,4.398,4.985,5.01,1,Basic Membership
174.229.6.4,09-01-2023 12.20,7.524,5.417,2.107,4.562,2.962,3,Premium Membership
176.348.11.3,09-01-2023 12.25,8.566,4.797,3.769,4.273,4.293,3,Basic Membership
190.230.19.0,09-01-2023 12.30,9.357,3.836,5.521,4.73,4.627,0,Basic Membership
180.306.14.8,09-01-2023 12.35,7.179,1.795,5.384,3.823,3.356,3,Premium Membership
160.204.10.10,09-01-2023 12.40,7.847,4.63,3.217,4.348,3.499,2,Basic Membership
172.271.4.17,09-01-2023 12.45,8.744,2.536,6.208,3.757,4.987,3,Basic Membership
158.323.14.3,09-01-2023 12.50,8.105,2.188,5.917,3.995,4.11,1,Basic Membership
157.231.17.16,09-01-2023 12.55,7.283,4.151,3.132,3.849,3.434,4,Premium Membership
170.310.2.2,09-01-2023 13.00,9.485,1.897,7.588,6.013,3.472,2,Basic Membership
167.350.12.1,09-01-2023 13.05,9.119,4.377,4.742,5.325,3.794,3,Basic Membership
158.245.19.13,09-01-2023 13.10,7.028,2.881,4.147,2.528,4.5,3,Premium Membership
150.289.19.5,09-01-2023 13.15,9.297,2.882,6.415,6.233,3.064,3,Basic Membership
185.269.20.3,09-01-2023 13.20,9.869,2.467,7.402,3.38,6.489,0,Basic Membership
158.289.11.10,09-01-2023 13.25,8.017,3.928,4.089,3.773,4.244,0,Premium Membership
187.214.8.10,09-01-2023 13.30,9.422,6.972,2.45,5.009,4.413,3,Basic Membership
